TrainingSize,Cycles
0,192
1,60
2,60
3,56
4,60
5,60
6,56
7,60
8,56
9,56
10,45
11,51
12,45
13,45
14,45
15,45
16,45
17,54
18,72
19,54
20,45
21,54
22,45
23,54
24,51
25,51
26,45
27,87
28,45
29,51
30,78
31,69
32,45
33,45
34,54
35,51
36,84
37,72
38,45
39,51
40,45
41,105
42,45
43,45
44,45
45,45
46,51
47,45
48,54
49,78
50,45
51,105
52,54
53,45
54,51
55,75
56,75
57,51
58,51
59,48
60,72
61,57
62,54
63,45
0,180
1,48
2,57
3,48
4,45
5,54
6,45
7,51
8,45
9,45
10,78
11,48
12,75
13,51
14,75
15,45
16,66
17,72
18,72
19,54
20,51
21,66
22,72
23,51
24,54
25,78
26,75
27,45
28,45
29,66
30,45
31,45
32,72
33,72
34,69
35,69
36,75
37,84
38,48
39,63
40,72
41,45
42,66
43,54
44,75
45,45
46,45
47,45
48,45
49,45
50,69
51,66
52,45
53,51
54,51
55,45
56,51
57,45
58,45
59,69
60,72
61,48
62,45
63,51
0,195
1,45
2,54
3,54
4,54
5,51
6,51
7,54
8,45
9,45
10,51
11,75
12,45
13,54
14,51
15,45
16,69
17,102
18,45
19,54
20,45
21,51
22,81
23,51
24,51
25,51
26,45
27,72
28,51
29,45
30,63
31,51
32,51
33,45
34,45
35,54
36,54
37,78
38,69
39,45
40,51
41,84
42,69
43,72
44,75
45,45
46,75
47,69
48,51
49,48
50,72
51,60
52,72
53,45
54,45
55,45
56,45
57,45
58,75
59,45
60,72
61,51
62,69
63,45
0,180
1,45
2,51
3,54
4,45
5,51
6,48
7,45
8,51
9,54
10,45
11,54
12,45
13,45
14,48
15,54
16,45
17,51
18,45
19,48
20,51
21,66
22,51
23,48
24,45
25,66
26,48
27,78
28,48
29,45
30,45
31,45
32,45
33,45
34,72
35,45
36,45
37,54
38,48
39,69
40,78
41,69
42,66
43,51
44,45
45,72
46,69
47,51
48,48
49,54
50,48
51,48
52,51
53,51
54,51
55,45
56,45
57,75
58,45
59,69
60,54
61,45
62,69
63,51
0,822
1,51
2,51
3,54
4,45
5,45
6,51
7,45
8,51
9,45
10,54
11,54
12,48
13,54
14,48
15,45
16,66
17,45
18,45
19,108
20,45
21,45
22,54
23,45
24,72
25,45
26,78
27,48
28,48
29,51
30,48
31,54
32,45
33,45
34,48
35,51
36,45
37,75
38,48
39,45
40,78
41,51
42,48
43,69
44,72
45,75
46,45
47,54
48,45
49,51
50,45
51,75
52,51
53,45
54,45
55,45
56,45
57,45
58,45
59,54
60,48
61,57
62,45
63,51
0,195
1,48
2,51
3,45
4,45
5,45
6,45
7,48
8,51
9,51
10,51
11,45
12,54
13,51
14,45
15,45
16,45
17,48
18,96
19,48
20,45
21,51
22,48
23,54
24,54
25,54
26,45
27,45
28,54
29,48
30,45
31,45
32,45
33,69
34,45
35,69
36,48
37,72
38,51
39,69
40,72
41,45
42,51
43,66
44,69
45,54
46,66
47,63
48,45
49,69
50,45
51,69
52,54
53,51
54,51
55,45
56,48
57,45
58,45
59,45
60,45
61,51
62,51
63,45
0,657
1,51
2,48
3,54
4,51
5,54
6,48
7,45
8,48
9,48
10,45
11,45
12,48
13,51
14,48
15,54
16,45
17,48
18,51
19,51
20,45
21,45
22,75
23,78
24,45
25,72
26,48
27,51
28,48
29,54
30,45
31,45
32,54
33,45
34,75
35,45
36,72
37,78
38,51
39,51
40,72
41,75
42,45
43,45
44,45
45,72
46,69
47,45
48,45
49,51
50,45
51,45
52,45
53,72
54,48
55,69
56,75
57,54
58,45
59,45
60,72
61,45
62,45
63,45
0,192
1,54
2,51
3,54
4,45
5,45
6,51
7,48
8,54
9,48
10,45
11,48
12,48
13,45
14,45
15,45
16,45
17,207
18,45
19,45
20,45
21,51
22,54
23,84
24,45
25,48
26,45
27,54
28,45
29,45
30,45
31,45
32,45
33,60
34,48
35,45
36,72
37,72
38,51
39,48
40,63
41,72
42,48
43,69
44,75
45,45
46,66
47,78
48,45
49,45
50,48
51,72
52,54
53,45
54,45
55,54
56,45
57,45
58,45
59,66
60,72
61,51
62,45
63,48
0,45
1,45
2,45
3,54
4,54
5,48
6,48
7,45
8,45
9,45
10,51
11,51
12,45
13,48
14,45
15,45
16,51
17,45
18,45
19,48
20,51
21,45
22,45
23,96
24,51
25,54
26,45
27,51
28,48
29,87
30,45
31,78
32,60
33,75
34,75
35,51
36,102
37,45
38,66
39,69
40,51
41,69
42,60
43,60
44,45
45,45
46,45
47,45
48,75
49,48
50,72
51,48
52,45
53,48
54,45
55,48
56,48
57,54
58,63
59,45
60,54
61,54
62,69
63,57
0,429
1,51
2,51
3,54
4,45
5,45
6,45
7,45
8,45
9,45
10,45
11,45
12,51
13,45
14,48
15,51
16,45
17,45
18,45
19,78
20,45
21,72
22,51
23,54
24,45
25,45
26,72
27,51
28,45
29,69
30,54
31,81
32,45
33,54
34,69
35,75
36,72
37,45
38,51
39,48
40,51
41,75
42,48
43,84
44,45
45,51
46,45
47,54
48,54
49,75
50,45
51,72
52,51
53,45
54,51
55,54
56,45
57,51
58,51
59,51
60,51
61,48
62,72
63,66
0,198
1,57
2,48
3,45
4,45
5,45
6,45
7,54
8,48
9,51
10,45
11,54
12,45
13,48
14,45
15,51
16,60
17,72
18,45
19,48
20,45
21,45
22,54
23,51
24,78
25,66
26,51
27,45
28,72
29,48
30,51
31,45
32,45
33,72
34,63
35,45
36,51
37,51
