Iteration,SetIndex,LineIndex,Cycles
0,0,0,270
0,0,1,753
0,0,2,285
0,0,3,294
0,0,4,264
0,0,5,303
0,0,6,309
0,0,7,267
0,1,0,303
0,1,1,261
0,1,2,303
0,1,3,402
0,1,4,303
0,1,5,297
0,1,6,408
0,1,7,261
0,2,0,462
0,2,1,264
0,2,2,297
0,2,3,264
0,2,4,45
0,2,5,69
0,2,6,291
0,2,7,276
0,3,0,69
0,3,1,66
0,3,2,72
0,3,3,69
0,3,4,42
0,3,5,51
0,3,6,45
0,3,7,54
0,4,0,267
0,4,1,264
0,4,2,261
0,4,3,303
0,4,4,288
0,4,5,243
0,4,6,279
0,4,7,360
0,5,0,303
0,5,1,291
0,5,2,231
0,5,3,444
0,5,4,276
0,5,5,240
0,5,6,279
0,5,7,240
0,6,0,237
0,6,1,303
0,6,2,1044
0,6,3,330
0,6,4,267
0,6,5,303
0,6,6,201
0,6,7,270
0,7,0,264
0,7,1,240
0,7,2,306
0,7,3,327
0,7,4,330
0,7,5,300
0,7,6,333
0,7,7,300
0,8,0,267
0,8,1,237
0,8,2,267
0,8,3,261
0,8,4,267
0,8,5,273
0,8,6,213
0,8,7,216
0,9,0,258
0,9,1,261
0,9,2,261
0,9,3,312
0,9,4,273
0,9,5,294
0,9,6,201
0,9,7,303
0,10,0,303
0,10,1,312
0,10,2,294
0,10,3,264
0,10,4,273
0,10,5,261
0,10,6,270
0,10,7,261
0,11,0,264
0,11,1,306
0,11,2,267
0,11,3,564
0,11,4,237
0,11,5,303
0,11,6,240
0,11,7,330
0,12,0,264
0,12,1,303
0,12,2,579
0,12,3,306
0,12,4,294
0,12,5,303
0,12,6,294
0,12,7,231
0,13,0,264
0,13,1,306
0,13,2,297
0,13,3,306
0,13,4,303
0,13,5,261
0,13,6,462
0,13,7,303
0,14,0,270
0,14,1,279
0,14,2,261
0,14,3,285
0,14,4,225
0,14,5,264
0,14,6,228
0,14,7,291
0,15,0,237
0,15,1,327
0,15,2,231
0,15,3,198
0,15,4,267
0,15,5,231
0,15,6,204
0,15,7,198
0,16,0,273
0,16,1,240
0,16,2,297
0,16,3,1365
0,16,4,315
0,16,5,1038
0,16,6,270
0,16,7,270
0,17,0,243
0,17,1,306
0,17,2,510
0,17,3,264
0,17,4,1029
0,17,5,261
0,17,6,279
0,17,7,363
0,18,0,339
0,18,1,273
0,18,2,291
0,18,3,1113
0,18,4,492
0,18,5,345
0,18,6,384
0,18,7,315
0,19,0,408
0,19,1,399
0,19,2,276
0,19,3,270
0,19,4,342
0,19,5,264
0,19,6,228
0,19,7,306
0,20,0,267
0,20,1,282
0,20,2,270
0,20,3,264
0,20,4,243
0,20,5,270
0,20,6,396
0,20,7,273
0,21,0,297
0,21,1,300
0,21,2,312
0,21,3,210
0,21,4,264
0,21,5,273
0,21,6,201
0,21,7,273
0,22,0,294
0,22,1,306
0,22,2,330
0,22,3,390
0,22,4,300
0,22,5,261
0,22,6,252
0,22,7,288
0,23,0,276
0,23,1,267
0,23,2,267
0,23,3,261
0,23,4,318
0,23,5,246
0,23,6,267
0,23,7,264
0,24,0,282
0,24,1,255
0,24,2,309
0,24,3,381
0,24,4,369
0,24,5,291
0,24,6,285
0,24,7,318
0,25,0,267
0,25,1,264
0,25,2,303
0,25,3,309
0,25,4,297
0,25,5,285
0,25,6,213
0,25,7,288
0,26,0,261
0,26,1,306
0,26,2,252
0,26,3,330
0,26,4,267
0,26,5,306
0,26,6,1221
0,26,7,234
0,27,0,300
0,27,1,270
0,27,2,252
0,27,3,321
0,27,4,267
0,27,5,261
0,27,6,867
0,27,7,291
0,28,0,309
0,28,1,306
0,28,2,324
0,28,3,264
0,28,4,828
0,28,5,288
0,28,6,306
0,28,7,270
0,29,0,330
0,29,1,249
0,29,2,252
0,29,3,261
0,29,4,267
0,29,5,303
0,29,6,300
0,29,7,303
0,30,0,249
0,30,1,318
0,30,2,279
0,30,3,306
0,30,4,258
0,30,5,255
0,30,6,354
0,30,7,243
0,31,0,300
0,31,1,231
0,31,2,219
0,31,3,219
0,31,4,270
0,31,5,264
0,31,6,279
0,31,7,204
0,32,0,297
0,32,1,312
0,32,2,300
0,32,3,312
0,32,4,309
0,32,5,309
0,32,6,297
0,32,7,234
0,33,0,255
0,33,1,255
0,33,2,390
0,33,3,261
0,33,4,210
0,33,5,255
0,33,6,297
0,33,7,300
0,34,0,270
0,34,1,270
0,34,2,276
0,34,3,285
0,34,4,267
0,34,5,300
0,34,6,258
0,34,7,255
0,35,0,261
0,35,1,261
0,35,2,213
0,35,3,201
0,35,4,216
0,35,5,246
0,35,6,318
0,35,7,270
0,36,0,264
0,36,1,261
0,36,2,279
0,36,3,267
0,36,4,258
0,36,5,264
0,36,6,315
0,36,7,309
0,37,0,255
0,37,1,258
0,37,2,309
0,37,3,213
0,37,4,273
0,37,5,264
0,37,6,306
0,37,7,210
0,38,0,315
0,38,1,300
0,38,2,312
0,38,3,300
0,38,4,306
0,38,5,309
0,38,6,297
0,38,7,1272
0,39,0,309
0,39,1,309
0,39,2,309
0,39,3,315
0,39,4,303
0,39,5,864
0,39,6,297
0,39,7,306
0,40,0,264
0,40,1,264
0,40,2,300
0,40,3,297
0,40,4,270
0,40,5,261
0,40,6,213
0,40,7,213
0,41,0,255
0,41,1,264
0,41,2,270
0,41,3,285
0,41,4,267
0,41,5,213
0,41,6,216
0,41,7,207
0,42,0,309
0,42,1,294
0,42,2,300
0,42,3,312
0,42,4,300
0,42,5,303
0,42,6,294
0,42,7,897
0,43,0,309
0,43,1,306
0,43,2,309
0,43,3,303
0,43,4,300
0,43,5,312
0,43,6,303
0,43,7,303
0,44,0,1248
0,44,1,309
0,44,2,303
0,44,3,306
0,44,4,303
0,44,5,309
0,44,6,309
0,44,7,306
0,45,0,291
0,45,1,309
0,45,2,306
0,45,3,315
0,45,4,1224
0,45,5,309
0,45,6,309
0,45,7,306
0,46,0,270
0,46,1,258
0,46,2,273
0,46,3,210
0,46,4,264
0,46,5,261
0,46,6,252
0,46,7,216
0,47,0,264
0,47,1,258
0,47,2,273
0,47,3,285
0,47,4,258
0,47,5,264
0,47,6,213
0,47,7,213
0,48,0,300
0,48,1,1095
0,48,2,300
0,48,3,297
0,48,4,315
0,48,5,297
0,48,6,309
0,48,7,300
0,49,0,309
0,49,1,306
0,49,2,297
0,49,3,306
0,49,4,312
0,49,5,303
0,49,6,315
0,49,7,297
0,50,0,264
0,50,1,207
0,50,2,264
0,50,3,345
0,50,4,306
0,50,5,282
0,50,6,276
0,50,7,330
0,51,0,468
0,51,1,276
0,51,2,282
0,51,3,264
0,51,4,336
0,51,5,330
0,51,6,216
0,51,7,288
0,52,0,342
0,52,1,273
0,52,2,273
0,52,3,267
0,52,4,273
0,52,5,267
0,52,6,342
0,52,7,204
0,53,0,276
0,53,1,333
0,53,2,276
0,53,3,261
0,53,4,399
0,53,5,402
0,53,6,264
0,53,7,297
0,54,0,390
0,54,1,432
0,54,2,309
0,54,3,1188
0,54,4,297
0,54,5,774
0,54,6,267
0,54,7,306
0,55,0,279
0,55,1,249
0,55,2,411
0,55,3,297
0,55,4,363
0,55,5,264
0,55,6,264
0,55,7,687
0,56,0,237
0,56,1,456
0,56,2,267
0,56,3,204
0,56,4,270
0,56,5,303
0,56,6,204
0,56,7,309
0,57,0,264
0,57,1,348
0,57,2,414
0,57,3,270
0,57,4,270
0,57,5,279
0,57,6,285
0,57,7,321
0,58,0,270
0,58,1,234
0,58,2,468
0,58,3,267
0,58,4,588
0,58,5,300
0,58,6,264
0,58,7,780
0,59,0,297
0,59,1,330
0,59,2,309
0,59,3,264
0,59,4,240
0,59,5,258
0,59,6,306
0,59,7,297
0,60,0,285
0,60,1,1080
0,60,2,297
0,60,3,261
0,60,4,261
0,60,5,264
0,60,6,285
0,60,7,279
0,61,0,255
0,61,1,255
0,61,2,234
0,61,3,540
0,61,4,267
0,61,5,471
0,61,6,267
0,61,7,306
0,62,0,267
0,62,1,327
0,62,2,279
0,62,3,333
0,62,4,201
0,62,5,297
0,62,6,252
0,62,7,219
0,63,0,261
0,63,1,288
0,63,2,267
0,63,3,264
0,63,4,210
0,63,5,345
0,63,6,219
0,63,7,300
0,64,0,273
0,64,1,258
0,64,2,219
0,64,3,267
0,64,4,222
0,64,5,372
0,64,6,207
0,64,7,210
0,65,0,273
0,65,1,264
0,65,2,261
0,65,3,279
0,65,4,261
0,65,5,255
0,65,6,297
0,65,7,288
0,66,0,1056
0,66,1,270
0,66,2,321
0,66,3,303
0,66,4,273
0,66,5,297
0,66,6,270
0,66,7,264
0,67,0,306
0,67,1,780
0,67,2,306
0,67,3,432
0,67,4,297
0,67,5,267
0,67,6,264
0,67,7,270
0,68,0,240
0,68,1,303
0,68,2,303
0,68,3,261
0,68,4,237
0,68,5,744
0,68,6,1443
0,68,7,267
0,69,0,303
0,69,1,633
0,69,2,303
0,69,3,261
0,69,4,291
0,69,5,264
0,69,6,330
0,69,7,270
0,70,0,234
0,70,1,315
0,70,2,198
0,70,3,228
0,70,4,204
0,70,5,264
0,70,6,285
0,70,7,222
0,71,0,264
0,71,1,264
0,71,2,303
0,71,3,267
0,71,4,285
0,71,5,261
0,71,6,270
0,71,7,411
0,72,0,519
0,72,1,264
0,72,2,327
0,72,3,264
0,72,4,270
0,72,5,297
0,72,6,279
0,72,7,270
0,73,0,312
0,73,1,306
0,73,2,264
0,73,3,291
0,73,4,318
0,73,5,309
0,73,6,297
0,73,7,273
0,74,0,255
0,74,1,273
0,74,2,420
0,74,3,270
0,74,4,261
0,74,5,222
0,74,6,267
0,74,7,294
0,75,0,303
0,75,1,336
0,75,2,270
0,75,3,291
0,75,4,198
0,75,5,219
0,75,6,351
0,75,7,297
0,76,0,300
0,76,1,303
0,76,2,276
0,76,3,297
0,76,4,279
0,76,5,267
0,76,6,276
0,76,7,300
0,77,0,273
0,77,1,267
0,77,2,267
0,77,3,267
0,77,4,267
0,77,5,306
0,77,6,210
0,77,7,270
0,78,0,873
0,78,1,267
0,78,2,303
0,78,3,312
0,78,4,264
0,78,5,267
0,78,6,264
0,78,7,627
0,79,0,294
0,79,1,324
0,79,2,237
0,79,3,306
0,79,4,435
0,79,5,234
0,79,6,297
0,79,7,336
0,80,0,267
0,80,1,240
0,80,2,270
0,80,3,237
0,80,4,267
0,80,5,267
0,80,6,198
0,80,7,201
0,81,0,267
0,81,1,267
0,81,2,207
0,81,3,288
0,81,4,282
0,81,5,300
0,81,6,264
0,81,7,303
0,82,0,306
0,82,1,300
0,82,2,294
0,82,3,1113
0,82,4,1140
0,82,5,306
0,82,6,267
0,82,7,261
0,83,0,762
0,83,1,303
0,83,2,744
0,83,3,300
0,83,4,306
0,83,5,306
0,83,6,306
0,83,7,270
0,84,0,309
0,84,1,783
0,84,2,303
0,84,3,300
0,84,4,282
0,84,5,312
0,84,6,237
0,84,7,237
0,85,0,309
0,85,1,300
0,85,2,297
0,85,3,276
0,85,4,306
0,85,5,315
0,85,6,270
0,85,7,273
0,86,0,270
0,86,1,306
0,86,2,270
0,86,3,288
0,86,4,420
0,86,5,276
0,86,6,309
0,86,7,279
0,87,0,252
0,87,1,276
0,87,2,273
0,87,3,288
0,87,4,528
0,87,5,312
0,87,6,471
0,87,7,468
0,88,0,522
0,88,1,285
0,88,2,612
0,88,3,270
0,88,4,267
0,88,5,312
0,88,6,288
0,88,7,297
0,89,0,270
0,89,1,324
0,89,2,276
0,89,3,267
0,89,4,1092
0,89,5,270
0,89,6,297
0,89,7,264
0,90,0,264
0,90,1,273
0,90,2,261
0,90,3,300
0,90,4,300
0,90,5,240
