TrainingSize,Cycles
0,192
1,210
2,216
3,201
4,48
5,45
6,219
7,114
8,207
9,210
10,201
11,264
12,255
13,216
14,219
15,207
16,294
17,207
18,198
19,210
20,45
21,51
22,267
23,255
24,210
25,207
26,210
27,222
28,210
29,210
30,216
31,213
0,189
1,45
2,48
3,45
4,45
5,45
6,210
7,201
8,213
9,210
10,198
11,255
12,45
13,309
14,291
15,204
16,207
17,207
18,207
19,228
20,225
21,204
22,255
23,252
24,258
25,207
26,207
27,207
28,210
29,204
30,198
31,45
0,192
1,45
2,210
3,45
4,45
5,54
6,210
7,45
8,210
9,213
10,204
11,255
12,258
13,288
14,216
15,210
16,219
17,210
18,225
19,216
20,207
21,207
22,264
23,255
24,264
25,213
26,207
27,204
28,255
29,213
30,204
31,213
0,189
1,48
2,216
3,45
4,45
5,45
6,213
7,45
8,207
9,219
10,201
11,264
12,45
13,213
14,213
15,207
16,216
17,210
18,204
19,213
20,198
21,213
22,261
23,255
24,270
25,204
26,222
27,198
28,210
29,213
30,423
31,216
0,192
1,48
2,48
3,54
4,45
5,51
6,213
7,78
8,207
9,210
10,48
11,264
12,54
13,213
14,213
15,210
16,213
17,210
18,204
19,207
20,210
21,255
22,261
23,258
24,207
25,219
26,45
27,207
28,219
29,258
30,207
31,258
0,189
1,48
2,45
3,45
4,54
5,54
6,216
7,45
8,210
9,213
10,210
11,255
12,264
13,300
14,207
15,201
16,216
17,216
18,201
19,246
20,225
21,201
22,255
23,255
24,309
25,204
26,204
27,288
28,213
29,216
30,204
31,228
0,195
1,45
2,48
3,45
4,45
5,45
6,213
7,45
8,207
9,210
10,204
11,270
12,45
13,210
14,213
15,207
16,207
17,207
18,210
19,207
20,210
21,213
22,255
23,261
24,258
25,201
26,216
27,207
28,81
29,207
30,201
31,312
0,144
1,222
2,45
3,216
4,45
5,51
6,216
7,45
8,216
9,216
10,201
11,264
12,51
13,51
14,207
15,216
16,210
17,219
18,216
19,231
20,201
21,219
22,258
23,258
24,264
25,207
26,213
27,213
28,264
29,225
30,213
31,231
0,189
1,45
2,45
3,48
4,51
5,51
6,210
7,201
8,204
9,210
10,48
11,255
12,258
13,210
14,207
15,201
16,210
17,213
18,207
19,216
20,252
21,210
22,258
23,255
24,264
25,216
26,207
27,204
28,210
29,210
30,249
31,213
0,198
1,210
2,216
3,48
4,45
5,48
6,210
7,51
8,210
9,213
10,204
11,261
12,45
13,297
14,204
15,207
16,213
17,225
18,210
19,213
20,48
21,213
22,258
23,255
24,213
25,213
26,225
27,198
28,210
29,210
30,219
31,216
0,198
1,201
2,45
3,51
4,45
5,51
6,210
7,75
8,210
9,45
10,105
11,258
12,48
13,210
14,207
15,210
16,228
17,207
18,216
19,237
20,51
21,45
22,270
23,264
24,216
25,207
26,210
27,267
28,210
29,210
30,201
31,219
0,930
1,48
2,45
3,210
4,51
5,54
6,213
7,48
8,207
9,225
10,207
11,264
12,258
13,210
14,219
15,204
16,213
17,228
18,207
19,207
20,204
21,213
22,264
23,255
24,258
25,204
26,207
27,204
28,51
29,309
30,201
31,216
0,195
1,51
2,213
3,207
4,45
5,51
6,213
7,201
8,210
9,213
10,204
11,258
12,51
13,264
14,210
15,258
16,219
17,213
18,207
19,213
20,228
21,207
22,258
23,258
24,300
25,51
26,210
27,252
28,210
29,240
30,300
31,216
0,195
1,204
2,216
3,48
4,51
5,45
6,216
7,45
8,213
9,210
10,204
11,258
12,45
13,210
14,210
15,207
16,213
17,213
18,207
19,210
20,201
21,210
22,261
23,267
24,264
25,207
26,45
27,285
28,213
29,45
30,204
31,213
0,198
1,201
2,48
3,213
4,45
5,45
6,225
7,48
8,207
9,222
10,216
11,264
12,51
13,210
14,207
15,213
16,213
17,216
18,216
19,213
20,204
21,207
22,258
23,273
24,216
25,204
26,216
27,204
28,213
29,210
30,204
31,213
0,198
1,51
2,66
3,195
4,51
5,45
6,225
7,45
8,213
9,216
10,204
11,255
12,51
13,294
14,210
