L1,L2,L3,RAM
45,45,72,321
45,48,69,495
54,45,69,294
48,45,69,1176
51,48,63,300
45,48,72,1194
45,54,72,291
54,45,69,1185
45,51,72,291
51,45,69,1203
45,45,72,309
54,51,69,309
45,48,72,306
45,54,84,294
51,45,69,987
48,51,69,291
51,45,69,1230
45,45,72,294
45,45,69,1236
48,51,69,294
45,45,72,1227
54,45,63,294
45,51,69,1224
51,45,69,297
45,51,69,1200
48,54,72,294
45,45,72,1212
45,45,69,300
51,48,78,300
45,45,69,294
45,45,69,1053
48,45,69,294
45,45,72,1221
51,45,69,297
45,48,69,1227
54,45,72,291
45,51,63,1230
45,45,69,291
45,51,69,1215
48,45,69,294
51,48,72,1200
45,51,72,294
51,48,75,1215
48,48,72,297
45,51,72,1200
54,48,69,291
45,45,72,306
51,51,72,606
45,45,72,294
51,45,69,1224
45,45,69,294
45,51,72,1233
45,45,69,294
45,54,69,1185
51,45,69,291
48,45,72,1230
51,54,69,294
45,54,75,1221
45,45,69,300
54,45,69,1200
45,51,63,300
51,48,72,1164
45,51,72,294
54,45,72,1215
45,45,72,300
45,45,69,786
51,45,69,294
48,51,72,1233
51,45,63,294
45,54,72,1188
45,48,69,294
48,45,63,1230
45,45,75,294
51,48,72,1221
45,51,72,291
54,51,69,1230
45,54,72,294
48,48,69,1155
45,45,72,300
45,45,69,1200
51,48,69,300
48,51,69,1209
51,48,69,705
45,45,63,294
45,54,69,1215
54,45,69,297
45,51,75,1179
51,45,72,294
45,51,69,1212
54,45,72,300
45,51,69,1197
45,45,69,300
51,45,69,1194
48,48,69,294
51,45,72,1176
45,45,69,291
45,51,69,1203
48,48,72,294
45,45,69,1194
51,45,69,297
45,45,72,300
54,45,81,303
45,45,69,519
45,45,69,300
45,54,69,1209
48,54,69,294
51,45,69,1215
45,45,72,300
51,54,63,1200
48,45,72,291
45,45,69,1188
45,48,63,297
45,45,72,1200
54,45,72,294
45,45,72,1212
51,51,72,300
45,45,78,1197
48,48,72,291
45,54,69,300
45,45,72,300
51,54,69,306
48,45,72,291
51,45,72,969
45,45,69,294
45,45,69,1218
54,45,69,294
45,45,63,1182
51,54,72,294
45,45,72,1227
54,45,72,291
45,45,75,1218
45,45,69,294
51,45,69,1224
48,51,69,297
51,51,63,1200
45,54,72,291
45,45,69,315
48,45,72,306
45,48,69,300
51,45,72,1110
45,51,69,294
54,45,69,294
45,45,69,300
45,45,69,306
45,45,72,309
45,51,78,780
45,45,69,291
45,45,72,1230
51,48,69,294
48,45,69,1179
51,51,69,294
45,45,69,1218
45,45,69,294
54,54,72,1227
45,51,69,300
51,45,72,309
45,45,69,297
54,51,69,1077
45,45,69,291
45,51,81,1224
51,54,75,294
48,48,72,1215
51,48,69,294
45,51,69,1221
45,45,69,294
48,45,69,1188
45,51,69,291
51,45,69,1221
45,45,69,294
54,45,72,1212
45,45,63,297
45,54,72,1221
45,45,72,306
48,51,72,306
51,45,75,510
45,45,72,294
51,45,69,1224
48,45,72,297
45,45,69,1215
45,51,69,291
45,45,69,1224
54,54,69,300
45,51,72,1197
51,48,69,294
45,51,69,1221
48,54,63,294
45,45,69,1212
45,51,69,291
51,45,72,1221
48,54,75,291
51,51,69,300
45,45,69,309
45,45,69,351
54,51,63,297
45,54,69,1254
51,45,69,294
45,51,63,1245
54,45,69,291
45,48,69,1215
45,54,69,294
51,45,69,1245
48,51,69,291
51,45,69,1236
45,51,75,297
45,45,72,1215
48,51,69,291
45,45,69,1185
51,51,69,297
45,45,72,306
54,51,69,306
45,45,69,300
45,51,69,531
45,48,72,291
48,51,63,1182
51,45,69,294
45,48,72,1212
51,45,72,297
48,51,69,1218
45,51,75,294
45,45,69,1209
45,45,72,294
48,51,63,1179
51,45,69,294
45,51,69,1218
45,48,69,294
48,51,69,1227
45,48,72,291
51,45,69,309
45,45,69,306
51,45,69,672
45,51,72,294
45,45,69,1215
54,54,75,294
45,45,63,1221
51,45,69,294
45,51,72,1212
54,45,69,291
45,45,69,1182
45,45,69,294
51,45,69,1212
48,45,69,297
51,45,69,1218
45,45,72,294
45,48,69,1209
48,45,69,297
45,51,72,303
51,45,63,300
45,54,75,312
54,45,72,294
45,45,72,1152
45,45,69,294
45,51,69,1224
48,51,72,297
51,45,69,1179
48,45,72,291
51,54,69,1224
45,45,72,294
45,51,72,1215
54,51,72,294
45,51,69,1221
51,45,72,294
45,45,69,1176
45,45,75,291
45,45,72,294
48,45,72,1080
51,54,72,294
45,51,69,1218
51,45,69,294
48,51,69,1218
45,45,69,294
54,45,69,1179
